subj,DD_right,DD_left,Control
1,54.7467,-43.4222,0.7267
2,51.4844,-47.2356,-0.2
3,49.4933,-42.5206,-0.3222
4,42.3067,-46.6822,0.3644
5,44.9156,-52.0422,-0.1244
6,39.0178,-47.8933,2.3956
7,48.76,-46.66,0.0867
8,44.4356,-54.9822,-0.2889
9,48.5356,-54.9178,0.0867
